0,1,ma1_5,ma1_7,ma1_10,ma1_20
2011-05-25,81.92,81.84600000000003,81.77714285714276,81.56499999999996,81.143
2011-05-26,81.88,81.86400000000002,81.82428571428564,81.65699999999995,81.21849999999999
2011-05-27,81.03,81.71200000000002,81.73428571428563,81.64599999999994,81.23899999999999
2011-05-28,80.73,81.46600000000004,81.58285714285707,81.60799999999995,81.24449999999999
2011-05-29,80.73,81.25800000000004,81.4314285714285,81.52599999999995,81.252
2011-05-30,80.82,81.03800000000004,81.26857142857135,81.44199999999995,81.273
2011-05-31,81.15,80.89200000000002,81.17999999999992,81.37799999999996,81.288
2011-06-01,81.22,80.93000000000004,81.07999999999993,81.32099999999996,81.2915
2011-06-02,80.98,80.98000000000005,80.95142857142851,81.22299999999996,81.2965
2011-06-03,80.71,80.97600000000003,80.90571428571423,81.11699999999996,81.2885
2011-06-04,80.23,80.85800000000003,80.83428571428566,80.94799999999996,81.2565
2011-06-05,80.23,80.67400000000005,80.76285714285709,80.78299999999997,81.22
2011-06-06,80.26,80.48200000000004,80.68285714285707,80.70599999999997,81.176
2011-06-07,80.19,80.32400000000004,80.54571428571423,80.65199999999997,81.13000000000001
2011-06-08,79.95,80.17200000000004,80.36428571428566,80.57399999999998,81.05000000000001
2011-06-09,80.04,80.13400000000004,80.22999999999993,80.49599999999998,80.96900000000001
2011-06-10,80.13,80.11400000000003,80.14714285714278,80.39399999999998,80.88600000000001
2011-06-11,80.31,80.12400000000004,80.15857142857135,80.30299999999997,80.81200000000001
2011-06-12,80.31,80.14800000000004,80.16999999999992,80.23599999999996,80.7295
2011-06-13,80.5,80.25800000000004,80.20428571428563,80.21499999999996,80.66600000000001
2011-06-14,80.22,80.29400000000004,80.20857142857133,80.21399999999997,80.581
2011-06-15,80.39,80.34600000000003,80.27142857142847,80.22999999999996,80.5065
2011-06-16,80.92,80.46800000000005,80.39714285714275,80.29599999999996,80.501
2011-06-17,80.62,80.53000000000004,80.46714285714276,80.33899999999997,80.49550000000002
2011-06-18,80.13,80.45600000000005,80.44142857142846,80.35699999999996,80.46550000000002
2011-06-19,80.13,80.43800000000003,80.41571428571417,80.36599999999996,80.43100000000003
2011-06-20,80.18,80.39600000000004,80.36999999999989,80.37099999999997,80.38250000000002
2011-06-21,80.15,80.24200000000005,80.35999999999989,80.35499999999998,80.32900000000004
2011-06-22,80.25,80.16800000000003,80.33999999999989,80.34899999999998,80.29250000000003
2011-06-23,80.45,80.23200000000004,80.27285714285703,80.34399999999998,80.27950000000003
2011-06-24,80.45,80.29600000000003,80.24857142857134,80.36699999999999,80.29050000000004
2011-06-25,80.31,80.32200000000003,80.27428571428561,80.35899999999998,80.29450000000003
2011-06-26,80.31,80.35400000000004,80.29999999999991,80.29799999999999,80.29700000000003
2011-06-27,80.7,80.44400000000005,80.37428571428563,80.306,80.32250000000002
2011-06-28,80.81,80.51600000000005,80.46857142857134,80.374,80.36550000000003
2011-06-29,81.03,80.63200000000005,80.57999999999991,80.46399999999998,80.41500000000002
2011-06-30,80.44,80.65800000000004,80.57857142857132,80.48999999999998,80.43050000000002
2011-07-01,80.73,80.74200000000005,80.61857142857131,80.54799999999999,80.45150000000004
2011-07-02,80.81,80.76400000000005,80.6899999999999,80.604,80.47650000000003
2011-07-03,80.81,80.76400000000005,80.76142857142847,80.63999999999999,80.49200000000003
2011-07-04,80.77,80.71200000000006,80.77142857142846,80.67199999999998,80.51950000000002
2011-07-05,80.99,80.82200000000006,80.79714285714275,80.73999999999998,80.54950000000002
2011-07-06,80.85,80.84600000000005,80.77142857142847,80.79399999999998,80.54600000000002
2011-07-07,80.94,80.87200000000004,80.84285714285703,80.81799999999998,80.56200000000001
2011-07-08,81.26,80.96200000000005,80.91857142857131,80.86299999999999,80.61850000000001
2011-07-09,80.55,80.91800000000005,80.88142857142846,80.81499999999998,80.63950000000003
2011-07-10,80.55,80.83000000000006,80.84428571428559,80.82599999999998,80.65800000000002
2011-07-11,80.74,80.80800000000006,80.83999999999989,80.82699999999997,80.68750000000001
2011-07-12,80.09,80.63800000000006,80.71142857142846,80.75499999999997,80.6795
2011-07-13,79.39,80.26400000000007,80.50285714285702,80.61299999999997,80.62650000000001
2011-07-14,78.62,79.87800000000007,80.17142857142845,80.39799999999997,80.535
2011-07-15,79.14,79.59600000000006,79.8685714285713,80.21299999999997,80.47650000000002
2011-07-16,79.1,79.26800000000006,79.66142857142846,80.03799999999997,80.41600000000001
2011-07-17,79.1,79.07000000000005,79.4542857142856,79.85399999999997,80.336
2011-07-18,79.01,78.99400000000006,79.20714285714276,79.62899999999998,80.24600000000001
2011-07-19,79.06,79.08200000000005,79.0599999999999,79.47999999999998,80.14750000000001
2011-07-20,79.15,79.08400000000006,79.02571428571419,79.33999999999997,80.083
2011-07-21,78.69,79.00200000000007,79.03571428571418,79.13499999999996,79.98100000000001
